Dataset,Count,MAE,RMSE,MAPE (%),Mean Error (Bias),R2,Pearson Correlation,Lin's CCC,MSE
All Valid Data,66,1.1245454545454545,1.9799525552932122,18.619444444444447,-0.7599999999999999,0.9080393768208818,0.960805919985137,0.9506219123521605,3.920212121212121
Clean Data (No Major Issues),57,0.9689473684210526,1.6686873715168007,16.39707602339181,-0.5717543859649122,0.9363924804893482,0.972519739544786,0.9659788339657562,2.784517543859649
target place:  arm,15,0.6286666666666666,1.0570619660171299,20.43888888888889,-0.3619999999999999,0.9701554487179487,0.9867471318682558,0.9849623810554724,1.11738
target place:  foot,24,1.04375,1.9688755250988652,12.722916666666666,-0.7954166666666665,0.9299411000596154,0.9731240065965194,0.9614727341359847,3.8764708333333324
target place:  throat,18,1.1527777777777777,1.6485936767776077,17.927777777777777,-0.44833333333333314,0.905637912558937,0.9553708246997588,0.9503141858817421,2.717861111111111
syringe_size_ml: 3.0,15,0.36066666666666664,0.46778200050878394,18.33333333333333,-0.31266666666666665,0.4529500000000001,0.8350802905514029,0.717586019978834,0.21881999999999996
syringe_size_ml: 5.0,17,0.526470588235294,0.6318925820850547,17.976470588235294,-0.16999999999999998,0.6776695530726256,0.8391979791408162,0.823532992014397,0.39928823529411767
syringe_size_ml: 20.0,25,1.6347999999999998,2.4384199802331015,14.161333333333333,-1.0003999999999997,0.8221922248803828,0.9231089625691601,0.9058130408443001,5.945891999999998
person: person1,2,0.43000000000000016,0.4310452412450463,9.666666666666668,0.43000000000000016,0.9848326530612245,1.0,0.9924088283120471,0.18580000000000013
person: person10,3,0.7766666666666664,0.7905061669588667,15.788888888888888,-0.7766666666666664,0.9896994505494505,0.99982292994917,0.9948648865560938,0.6248999999999996
person: person11,3,0.8133333333333331,0.9699828177172349,20.366666666666664,-0.8133333333333331,0.5295666666666667,0.9303444170079274,0.7724186864044638,0.9408666666666666
person: person13,2,2.5549999999999997,3.116769160525046,20.474999999999998,-2.5549999999999997,0.84821484375,1.0,0.9110043814143746,9.71425
person: person14,2,0.21500000000000008,0.23505318547086324,8.16666666666667,0.09499999999999997,0.7789999999999999,1.0,0.9282700421940928,0.05525000000000003
person: person15,2,0.31999999999999995,0.3206243908376279,11.75,-0.31999999999999995,0.8972,1.0,0.9501648245103741,0.10279999999999996
person: person16,2,0.395,0.4361765697512878,20.166666666666664,-0.18500000000000005,0.80975,1.0,0.8641314051062309,0.19025000000000003
person: person17,2,0.4700000000000002,0.4805205510693587,5.600000000000002,0.10000000000000009,0.990764,1.0,0.9957965371038887,0.2309000000000002
person: person18,2,0.25499999999999945,0.28398943642325786,2.2499999999999964,0.12499999999999956,0.9985662222222222,1.0,0.9993071642141081,0.08064999999999961
person: person2,2,0.5950000000000002,0.6025363059600644,13.625000000000004,0.0950000000000002,-0.45220000000000105,-1.0,-0.3544114903935838,0.36305000000000026
person: person20,3,1.45,2.1369838558117373,28.999999999999996,-1.2233333333333334,0.8342729838709677,0.9707949250721263,0.9337412862769855,4.5667
person: person21,2,0.36999999999999916,0.4254409477236518,9.449999999999998,-0.36999999999999916,0.997994459833795,1.0,0.998975612792955,0.18099999999999902
person: person22,2,0.7999999999999998,1.0244998779892553,9.866666666666667,-0.7999999999999998,0.9143183673469388,1.0,0.9501841515738316,1.0495999999999992
person: person23,3,0.35000000000000003,0.4007077072713558,5.033333333333331,-0.14999999999999955,0.9943988372093023,0.998017711772919,0.9972757868519532,0.16056666666666655
person: person24,3,1.05,1.382497739600322,21.450000000000003,-0.6699999999999998,0.8634785714285714,0.9689666721024137,0.915246571151109,1.9112999999999996
person: person25,3,0.8100000000000002,0.8573019693589108,16.822222222222223,-0.8100000000000002,0.9696573394495412,0.9999190873420674,0.9858295306266333,0.7349666666666668
person: person26,2,3.12,4.1,15.6,-3.12,0.0,,,16.81
person: person3,2,0.5250000000000001,0.6451743950281972,8.249999999999998,0.5250000000000001,0.973984375,1.0,0.9882469205520064,0.4162500000000003
person: person5,2,1.1000000000000003,1.408687332235227,23.466666666666676,0.8800000000000001,-0.9844000000000008,1.0,0.6791281288403079,1.9844000000000008
person: person6,2,0.725,0.7251551558114994,48.833333333333336,0.015000000000000013,0.47415000000000007,1.0,0.5112236835990148,0.5258499999999999
person: person7,2,1.5300000000000002,2.163746750430836,15.300000000000002,1.5300000000000002,0.7073874999999998,1.0,0.9043003323671654,4.681800000000002
person: person8,3,0.2666666666666665,0.31958306171218354,19.03333333333333,-0.2666666666666665,0.9986600583090379,0.9999932870916926,0.9993434844690368,0.1021333333333333
person: person9,3,1.9266666666666665,2.8258096184987407,22.288888888888884,-1.7533333333333332,0.8829530944625408,0.996772697264378,0.9265606280403539,7.985199999999999
volume_range_target: 1-3mL,15,0.2786666666666667,0.34739027044521553,19.733333333333334,-0.132,0.4569400000000001,0.7645266061256137,0.735229588602966,0.12067999999999998
volume_range_target: 3-5mL,15,0.5433333333333333,0.6113100686231171,16.266666666666666,-0.23799999999999996,-0.6816500000000005,0.6847798530957979,0.5705310740234699,0.3737000000000001
volume_range_target: 5-10mL,7,1.24,1.7091184026525823,24.8,-0.6742857142857142,0.0,,,2.9210857142857143
volume_range_target: 10-15mL,7,1.3428571428571427,1.6291014175217664,13.428571428571429,-0.09714285714285673,0.0,,,2.6539714285714284
volume_range_target: 15-20mL,4,0.4400000000000004,0.4563441683641858,2.933333333333336,0.16500000000000004,0.0,,,0.20825000000000035
volume_range_target: >20mL,9,2.5622222222222217,3.518891871029856,12.811111111111112,-2.4777777777777774,0.0,,,12.382599999999998
Occluded Readings,5,2.798,4.257189213553939,31.22,-2.798,0.5496108349900595,0.9769670194327785,0.6922040431330018,18.123660000000005
Non-Occluded Readings (may include other issues),61,0.9873770491803281,1.6601189963274359,17.586612021857924,-0.592950819672131,0.9356436371965761,0.97200992005538,0.966021997946457,2.755995081967213
Flagged Bad Readings,2,2.045,2.1040556076301784,61.70833333333333,-2.045,-16.708199999999998,1.0,0.18350992705710942,4.4270499999999995
Clean Readings (for Bad Reading comparison),57,0.9689473684210526,1.6686873715168007,16.39707602339181,-0.5717543859649122,0.9363924804893482,0.972519739544786,0.9659788339657562,2.784517543859649
